Año,Clave_Ent,Entidad,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2015,1,Aguascalientes,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego,3,0.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0
2015,1,Aguascalientes,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma blanca,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2015,1,Aguascalientes,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con otro elemento,0,0.0,2.0,2.0,3.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0
2015,1,Aguascalientes,La vida y la Integridad corporal,Homicidio,Homicidio doloso,No especificado,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma de fuego,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma blanca,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,La vida y la Integridad corporal,Homicidio,Homicidio culposo,En accidente de tránsito,14,17.0,10.0,14.0,13.0,11.0,14.0,11.0,23.0,14.0,7.0,15.0
2015,1,Aguascalientes,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2015,1,Aguascalientes,La vida y la Integridad corporal,Homicidio,Homicidio culposo,No especificado,2,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma de fuego,2,3.0,4.0,1.0,2.0,3.0,5.0,2.0,1.0,4.0,3.0,2.0
2015,1,Aguascalientes,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma blanca,14,11.0,14.0,17.0,12.0,10.0,15.0,18.0,6.0,11.0,13.0,11.0
2015,1,Aguascalientes,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con otro elemento,142,155.0,169.0,183.0,196.0,203.0,181.0,215.0,165.0,134.0,113.0,110.0
2015,1,Aguascalientes,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,No especificado,14,25.0,18.0,26.0,0.0,0.0,0.0,0.0,1.0,20.0,15.0,20.0
2015,1,Aguascalientes,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma de fuego,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma blanca,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,La vida y la Integridad corporal,Lesiones,Lesiones culposas,En accidente de tránsito,48,40.0,83.0,95.0,74.0,76.0,95.0,72.0,88.0,103.0,82.0,86.0
2015,1,Aguascalientes,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con otro elemento,2,0.0,0.0,2.0,30.0,38.0,13.0,27.0,3.0,5.0,14.0,3.0
2015,1,Aguascalientes,La vida y la Integridad corporal,Lesiones,Lesiones culposas,No especificado,6,4.0,3.0,16.0,0.0,0.0,0.0,0.0,15.0,6.0,0.0,6.0
2015,1,Aguascalientes,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma de fuego,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma blanca,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con otro elemento,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,La vida y la Integridad corporal,Feminicidio,Feminicidio,No especificado,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,La vida y la Integridad corporal,Aborto,Aborto,Aborto,0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2015,1,Aguascalientes,La vida y la Integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,4,9.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Libertad personal,Secuestro,Secuestro,Secuestro extorsivo,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
2015,1,Aguascalientes,Libertad personal,Secuestro,Secuestro,Secuestro con calidad de rehén,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Libertad personal,Secuestro,Secuestro,Secuestro para causar daño,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Libertad personal,Secuestro,Secuestro,Secuestro exprés,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Libertad personal,Secuestro,Secuestro,Otro tipo de secuestros,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Libertad personal,Tráfico de menores,Tráfico de menores,Tráfico de menores,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Libertad personal,Rapto,Rapto,Rapto,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,11,12.0,11.0,13.0,0.0,6.0,4.0,0.0,1.0,0.0,0.0,3.0
2015,1,Aguascalientes,La libertad y la seguridad sexual,Abuso sexual,Abuso sexual,Abuso sexual,6,4.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
2015,1,Aguascalientes,La libertad y la seguridad sexual,Acoso sexual,Acoso sexual,Acoso sexual,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,La libertad y la seguridad sexual,Hostigamiento sexual,Hostigamiento sexual,Hostigamiento sexual,1,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0
2015,1,Aguascalientes,La libertad y la seguridad sexual,Violación simple,Violación simple,Violación simple,5,5.0,3.0,11.0,3.0,15.0,8.0,8.0,6.0,9.0,5.0,6.0
2015,1,Aguascalientes,La libertad y la seguridad sexual,Violación equiparada,Violación equiparada,Violación equiparada,0,5.0,3.0,7.0,3.0,4.0,4.0,4.0,3.0,5.0,3.0,0.0
2015,1,Aguascalientes,La libertad y la seguridad sexual,Incesto,Incesto,Incesto,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2015,1,Aguascalientes,La libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,19,17.0,21.0,20.0,30.0,31.0,24.0,21.0,17.0,19.0,17.0,16.0
2015,1,Aguascalientes,El patrimonio,Robo,Robo a casa habitación,Con violencia,5,3.0,0.0,7.0,6.0,8.0,5.0,3.0,4.0,2.0,4.0,7.0
2015,1,Aguascalientes,El patrimonio,Robo,Robo a casa habitación,Sin violencia,215,176.0,202.0,190.0,215.0,228.0,233.0,229.0,202.0,175.0,226.0,180.0
2015,1,Aguascalientes,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,4,3.0,5.0,4.0,4.0,2.0,2.0,7.0,5.0,6.0,9.0,5.0
2015,1,Aguascalientes,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,128,120.0,138.0,134.0,143.0,105.0,109.0,105.0,141.0,115.0,165.0,182.0
2015,1,Aguascalientes,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Con violencia,1,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0
2015,1,Aguascalientes,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,26,26.0,25.0,21.0,25.0,20.0,18.0,36.0,36.0,36.0,40.0,35.0
2015,1,Aguascalientes,El patrimonio,Robo,Robo de vehículo automotor,Robo de embarcaciones pequeñas y grandes Con violencia,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,El patrimonio,Robo,Robo de vehículo automotor,Robo de embarcaciones pequeñas y grandes Sin violencia,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,El patrimonio,Robo,Robo de autopartes,Con violencia,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,El patrimonio,Robo,Robo de autopartes,Sin violencia,106,137.0,149.0,123.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0
2015,1,Aguascalientes,El patrimonio,Robo,Robo a transportista,Con violencia,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2015,1,Aguascalientes,El patrimonio,Robo,Robo a transportista,Sin violencia,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,El patrimonio,Robo,Robo a transeúnte en vía pública,Con violencia,39,30.0,48.0,45.0,51.0,36.0,51.0,58.0,39.0,26.0,50.0,30.0
2015,1,Aguascalientes,El patrimonio,Robo,Robo a transeúnte en vía pública,Sin violencia,95,144.0,160.0,115.0,109.0,104.0,104.0,99.0,96.0,71.0,83.0,71.0
2015,1,Aguascalientes,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Con violencia,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Sin violencia,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,El patrimonio,Robo,Robo en transporte público individual,Con violencia,2,1.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,2.0
2015,1,Aguascalientes,El patrimonio,Robo,Robo en transporte público individual,Sin violencia,0,7.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,El patrimonio,Robo,Robo en transporte público colectivo,Con violencia,1,0.0,0.0,0.0,3.0,4.0,0.0,0.0,6.0,1.0,3.0,0.0
2015,1,Aguascalientes,El patrimonio,Robo,Robo en transporte público colectivo,Sin violencia,8,0.0,0.0,0.0,5.0,1.0,5.0,0.0,10.0,3.0,3.0,4.0
2015,1,Aguascalientes,El patrimonio,Robo,Robo en transporte individual,Con violencia,1,4.0,1.0,2.0,2.0,0.0,4.0,2.0,1.0,1.0,1.0,2.0
2015,1,Aguascalientes,El patrimonio,Robo,Robo en transporte individual,Sin violencia,2,0.0,2.0,1.0,1.0,3.0,1.0,3.0,0.0,2.0,3.0,1.0
2015,1,Aguascalientes,El patrimonio,Robo,Robo a institución bancaria,Con violencia,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,El patrimonio,Robo,Robo a institución bancaria,Sin violencia,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,El patrimonio,Robo,Robo a negocio,Con violencia,10,11.0,16.0,14.0,12.0,6.0,13.0,21.0,10.0,4.0,14.0,15.0
2015,1,Aguascalientes,El patrimonio,Robo,Robo a negocio,Sin violencia,109,80.0,123.0,104.0,116.0,106.0,98.0,125.0,113.0,120.0,97.0,101.0
2015,1,Aguascalientes,El patrimonio,Robo,Robo de ganado,Con violencia,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2015,1,Aguascalientes,El patrimonio,Robo,Robo de ganado,Sin violencia,13,16.0,16.0,14.0,20.0,17.0,25.0,14.0,19.0,19.0,28.0,13.0
2015,1,Aguascalientes,El patrimonio,Robo,Robo de maquinaria,Robo de herramienta industrial o agrícola Con violencia,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,El patrimonio,Robo,Robo de maquinaria,Robo de herramienta industrial o agrícola Sin violencia,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,El patrimonio,Robo,Robo de maquinaria,Robo de tractores Con violencia,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
